,Title,Star Rating,Price
0,The Nameless City (The Nameless City #1),Four,38.16
1,The Murder That Never Was (Forensic Instincts #5),Three,54.11
2,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Four,42.96
3,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Four,23.89
4,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Three,16.77
5,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Five,20.59
6,The Gutsy Girl: Escapades for Your Life of Epic Adventure,One,37.13
7,The Electric Pencil: Drawings from Inside State Hospital No. 3,One,56.06
8,The Death of Humanity: and the Case for Life,Four,58.11
9,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Three,49.05
10,The Art Forger,Three,40.76
11,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,One,19.73
12,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Five,32.24
13,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Four,41.83
14,Soul Reader,Two,39.58
15,Security,Two,39.25
16,"Saga, Volume 6 (Saga (Collected Editions) #6)",Three,25.02
17,"Saga, Volume 5 (Saga (Collected Editions) #5)",Two,51.04
18,Reskilling America: Learning to Labor in the Twenty-First Century,Two,19.83
19,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Three,50.4
